epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,751.404,0.90911,2.20477,1.15337,0.76415,0.70053,0.76835,0.57006,0.97249,1.97328,1.30075,0.000547118,0.000547118,0.000547118
2,780.358,0.89737,1.24904,1.10589,0.85148,0.76801,0.86128,0.65519,0.8739,1.6304,1.20076,0.00108095,0.00108095,0.00108095
3,809.254,0.89982,1.12008,1.11676,0.70627,0.81772,0.866,0.68598,0.80331,2.03098,1.16408,0.00159278,0.00159278,0.00159278
4,838.051,0.90934,1.00458,1.13171,0.88524,0.9217,0.95981,0.78034,0.66754,1.42369,1.02408,0.00156798,0.00156798,0.00156798
5,867.385,0.8436,0.90853,1.09132,0.92621,0.94022,0.96909,0.79056,0.70224,1.16866,1.02562,0.00153497,0.00153497,0.00153497
6,896.74,0.841,0.84827,1.09249,0.86759,0.92774,0.95558,0.79523,0.64473,1.1101,0.98897,0.00150197,0.00150197,0.00150197
7,925.237,0.79264,0.75441,1.06522,0.83638,0.79828,0.91339,0.74637,0.68963,1.23587,1.02351,0.00146896,0.00146896,0.00146896
8,953.832,0.79073,0.74135,1.07187,0.91097,0.95088,0.96684,0.7828,0.6817,0.72337,0.99366,0.00143595,0.00143595,0.00143595
9,982.148,0.77984,0.68723,1.06041,0.94465,0.96239,0.9841,0.85231,0.59922,0.52226,0.91725,0.00140295,0.00140295,0.00140295
10,1011.11,0.75704,0.64305,1.0474,0.92234,0.9679,0.98724,0.84413,0.60266,0.4972,0.9666,0.00136994,0.00136994,0.00136994
11,1039.79,0.74451,0.64534,1.05045,0.92672,0.95135,0.97723,0.8162,0.62878,0.52896,0.98085,0.00133693,0.00133693,0.00133693
12,1068.13,0.73978,0.61818,1.03777,0.94872,0.9675,0.98357,0.84884,0.56693,0.47124,0.93495,0.00130393,0.00130393,0.00130393
13,1096.48,0.72777,0.59101,1.04031,0.98261,0.96883,0.98191,0.84399,0.58503,0.51033,0.93192,0.00127092,0.00127092,0.00127092
14,1124.82,0.70636,0.60273,1.02824,0.94781,0.97962,0.98487,0.86502,0.53973,0.42502,0.92058,0.00123791,0.00123791,0.00123791
15,1153.3,0.70042,0.55782,1.03086,0.95379,0.9663,0.98402,0.86132,0.54453,0.50169,0.91646,0.00120491,0.00120491,0.00120491
16,1181.36,0.70232,0.54393,1.02898,0.99004,0.96871,0.98702,0.85913,0.5681,0.38434,0.93501,0.0011719,0.0011719,0.0011719
17,1209.37,0.69005,0.54932,1.01946,0.97643,0.97277,0.9866,0.85928,0.56034,0.37189,0.92453,0.00113889,0.00113889,0.00113889
18,1237.92,0.67542,0.54269,1.01914,0.98141,0.97824,0.98996,0.8619,0.53551,0.39408,0.90906,0.00110589,0.00110589,0.00110589
19,1266.02,0.66146,0.51448,1.01304,0.97742,0.97384,0.98535,0.86501,0.5567,0.37395,0.94116,0.00107288,0.00107288,0.00107288
